,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
6231,Crazy In Love (feat. Jay-Z),Beyoncé,236133,False,75,spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr
6232,How Deep Is Your Love,Calvin Harris,212640,False,75,spotify:track:22mek4IiqubGD9ctzxc69s,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s
6233,Send My Love (To Your New Lover),Adele,223078,False,2,spotify:track:3KZcrZ36LW9RnChK1iIkth,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth,https://api.spotify.com/v1/audio-analysis/3KZcrZ36LW9RnChK1iIkth
6234,All of Me,John Legend,269560,False,83,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a
6235,I Love You,Axwell /\ Ingrosso,191000,True,0,spotify:track:58nn6D6XLEdbfEdhNBqhAg,0.654,0.857,0,-4.358,1,0.182,0.339,0.0,0.0909,0.692,114.854,https://api.spotify.com/v1/tracks/58nn6D6XLEdbfEdhNBqhAg,https://api.spotify.com/v1/audio-analysis/58nn6D6XLEdbfEdhNBqhAg
6236,Let Me Love You,Mario,256733,False,71,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff
6237,Skinny Love,Birdy,201080,False,51,spotify:track:1oBDaufG8Arkz3t52UbiQi,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,https://api.spotify.com/v1/tracks/1oBDaufG8Arkz3t52UbiQi,https://api.spotify.com/v1/audio-analysis/1oBDaufG8Arkz3t52UbiQi
6238,Hard To Love,Lee Brice,224293,False,67,spotify:track:6E9V9TRlVOLjenGjHemzEH,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,https://api.spotify.com/v1/tracks/6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/audio-analysis/6E9V9TRlVOLjenGjHemzEH
6239,Waiting for You (feat. Madison Love),Coyote Kisses,223890,False,34,spotify:track:3LYSYHn94yg2PHFPvN7rDj,0.684,0.705,11,-5.089,0,0.0354,0.00295,0.000391,0.246,0.275,87.998,https://api.spotify.com/v1/tracks/3LYSYHn94yg2PHFPvN7rDj,https://api.spotify.com/v1/audio-analysis/3LYSYHn94yg2PHFPvN7rDj
6240,When You Love Someone - Acoustic,James TW,210106,False,60,spotify:track:6668ZaUUXqZ25Tb0DMr2HO,0.712,0.298,7,-8.363,1,0.0407,0.779,0.0,0.115,0.568,125.019,https://api.spotify.com/v1/tracks/6668ZaUUXqZ25Tb0DMr2HO,https://api.spotify.com/v1/audio-analysis/6668ZaUUXqZ25Tb0DMr2HO
6241,Make You Feel My Love,Adele,212040,False,3,spotify:track:0mqTcM8kuu2IYPotMt7AzS,0.559,0.172,10,-10.636,1,0.0291,0.907,0.000383,0.105,0.0955,77.025,https://api.spotify.com/v1/tracks/0mqTcM8kuu2IYPotMt7AzS,https://api.spotify.com/v1/audio-analysis/0mqTcM8kuu2IYPotMt7AzS
6242,We Found Love,Rihanna,215226,False,74,spotify:track:0U10zFw4GlBacOy9VDGfGL,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/audio-analysis/0U10zFw4GlBacOy9VDGfGL
6243,Amateur At Love (feat. Kardinal Offishall) - Remix,Karl Wolf,223047,False,23,spotify:track:53lWvc0HN2Pooo2klHwMBE,0.74,0.827,6,-2.921,0,0.0489,0.096,0.000159,0.102,0.812,95.068,https://api.spotify.com/v1/tracks/53lWvc0HN2Pooo2klHwMBE,https://api.spotify.com/v1/audio-analysis/53lWvc0HN2Pooo2klHwMBE
6244,When You Love Someone,James TW,216373,False,54,spotify:track:1o6YK7phnXgsljfWSQQfWc,0.675,0.444,7,-6.067,1,0.028,0.248,0.0,0.0531,0.356,125.884,https://api.spotify.com/v1/tracks/1o6YK7phnXgsljfWSQQfWc,https://api.spotify.com/v1/audio-analysis/1o6YK7phnXgsljfWSQQfWc
